epoch,train_loss,train_loss_sev,train_loss_dis,train_acc_sev,val_loss,val_acc,val_macro_f1
1,1.193041,0.346073,2.823227,0.737556,0.311500,0.965441,0.957436
2,0.226093,0.036924,0.630563,0.970198,0.144712,0.981611,0.978389
3,0.151969,0.022665,0.431013,0.980378,0.139962,0.982245,0.969795
4,0.132994,0.017919,0.383583,0.983690,0.127003,0.989537,0.986836
5,0.126872,0.017684,0.363961,0.982809,0.138710,0.984464,0.981674
6,0.119506,0.015707,0.345997,0.984747,0.136528,0.986684,0.981655
7,0.110614,0.013739,0.322917,0.985909,0.135638,0.982245,0.973495
8,0.102211,0.012237,0.299913,0.987600,0.131614,0.982879,0.973762
9,0.098237,0.012253,0.286612,0.986895,0.135774,0.988586,0.987571
10,0.090128,0.009512,0.268720,0.990031,0.150747,0.982562,0.970132
11,0.083842,0.007847,0.253317,0.991827,0.141749,0.987952,0.984679
12,0.078579,0.008245,0.234447,0.991827,0.144075,0.988269,0.984978
13,0.078523,0.010290,0.227441,0.990665,0.160740,0.985415,0.981695
14,0.068332,0.006974,0.204526,0.992990,0.147964,0.988903,0.983618
15,0.066199,0.006787,0.198040,0.993236,0.151767,0.986684,0.980099
16,0.058915,0.005362,0.178510,0.994575,0.159748,0.987001,0.980590
17,0.055760,0.005806,0.166512,0.994540,0.180357,0.989220,0.984777
18,0.050333,0.005015,0.151063,0.995033,0.182971,0.987635,0.984369
19,0.046083,0.004677,0.138020,0.995737,0.185394,0.987952,0.981806
20,0.042704,0.004802,0.126340,0.995456,0.170304,0.989220,0.986680
21,0.039608,0.004043,0.118550,0.996231,0.190724,0.988586,0.985049
22,0.034183,0.003163,0.103400,0.996724,0.178768,0.988903,0.984425
23,0.031888,0.002494,0.097981,0.997499,0.213721,0.985732,0.981431
24,0.028972,0.002682,0.087633,0.997534,0.207960,0.986049,0.979628
25,0.026805,0.002968,0.079454,0.996830,0.214043,0.988586,0.981716
26,0.026051,0.003410,0.075471,0.996512,0.234159,0.986367,0.977889
27,0.023143,0.002753,0.067969,0.997640,0.216310,0.989537,0.987705
28,0.019538,0.002911,0.055423,0.997323,0.231952,0.987001,0.980624
29,0.016936,0.001649,0.050958,0.998626,0.238694,0.991756,0.986880
30,0.016594,0.001627,0.049888,0.998309,0.252903,0.988586,0.982849
31,0.014669,0.001624,0.043485,0.998591,0.248432,0.989220,0.984663
32,0.012343,0.001472,0.036236,0.998873,0.244272,0.989854,0.985270
33,0.010931,0.001278,0.032178,0.998873,0.261083,0.988269,0.984538
34,0.010369,0.001452,0.029724,0.999049,0.253804,0.987318,0.982758
35,0.008707,0.001161,0.025154,0.999014,0.258851,0.989220,0.982761
36,0.006531,0.000603,0.019759,0.999577,0.270742,0.989854,0.985115
37,0.007469,0.001005,0.021548,0.999366,0.263733,0.990171,0.985236
38,0.006628,0.000985,0.018809,0.999155,0.267760,0.990488,0.987774
39,0.004922,0.000513,0.014696,0.999683,0.281849,0.988586,0.981983
40,0.004711,0.000632,0.013596,0.999436,0.277079,0.988903,0.982381
41,0.004069,0.000544,0.011752,0.999648,0.268319,0.990488,0.985623
42,0.003989,0.000523,0.011555,0.999612,0.281245,0.990171,0.986592
43,0.003185,0.000277,0.009692,0.999930,0.278102,0.989854,0.986195
44,0.003038,0.000362,0.008919,0.999753,0.277400,0.987635,0.984276
45,0.002732,0.000312,0.008066,0.999859,0.277987,0.988903,0.983454
46,0.002628,0.000340,0.007629,0.999824,0.273411,0.989220,0.984581
47,0.002512,0.000314,0.007328,0.999824,0.278594,0.988586,0.983968
48,0.002677,0.000297,0.007933,0.999789,0.277336,0.989537,0.985791
49,0.002547,0.000335,0.007373,0.999859,0.278154,0.989220,0.983671
50,0.002486,0.000312,0.007245,0.999753,0.268369,0.989220,0.984674
