epoch,train_loss,train_proto_loss,train_ssl_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5,epoch_time_sec
1,7.480998,7.370426,0.368572,0.298817,0.548334,3.763323,0.591441,0.845797,477.405
2,6.371413,6.167548,0.679550,0.680733,0.943470,2.924965,0.748290,0.978601,471.409
1,7.830735,7.567407,0.877759,0.015203,0.065878,4.107422,0.027576,0.114714,54.051
2,7.725194,7.555869,0.564415,0.042230,0.138514,4.100430,0.053607,0.194353,52.014
3,7.629931,7.540010,0.299736,0.109797,0.312500,4.090588,0.149349,0.343040,51.543
4,7.581248,7.513004,0.227479,0.219595,0.525338,4.064150,0.260534,0.599603,50.962
5,7.524652,7.461164,0.211626,0.380068,0.716216,4.026124,0.419369,0.799912,51.044
6,7.457649,7.387584,0.233547,0.523649,0.876689,3.976977,0.517759,0.888595,50.645
7,7.369101,7.290654,0.261491,0.687500,0.944257,3.926012,0.585264,0.923671,50.711
8,7.280472,7.191186,0.297620,0.739865,0.974662,3.867469,0.633355,0.944408,50.799
9,7.181217,7.083601,0.325386,0.744932,0.979730,3.808841,0.662255,0.946173,50.755
10,7.067738,6.964018,0.345732,0.826014,0.984797,3.743811,0.680565,0.961835,50.829
11,6.949281,6.841028,0.360845,0.868243,0.991554,3.686099,0.688286,0.964262,51.199
12,6.835635,6.721117,0.381725,0.856419,0.996622,3.633830,0.700860,0.965144,50.606
13,6.714464,6.597397,0.390221,0.915541,0.996622,3.567619,0.687624,0.959629,50.747
14,6.605689,6.481568,0.413738,0.917230,0.994932,3.507159,0.706596,0.965806,50.171
15,6.511601,6.381869,0.432438,0.918919,0.991554,3.443137,0.722921,0.969115,50.527
16,6.392711,6.257864,0.449488,0.951014,0.998311,3.390632,0.719391,0.967351,50.571
17,6.315682,6.171985,0.478992,0.945946,0.996622,3.342977,0.707037,0.967792,50.916
18,6.202664,6.054010,0.495514,0.967905,0.994932,3.296827,0.708361,0.964703,50.666
19,6.131809,5.978328,0.511603,0.957770,0.998311,3.260736,0.700419,0.968454,50.750
20,6.053019,5.896647,0.521239,0.959459,0.996622,3.212592,0.724024,0.965365,51.002
21,5.983834,5.820372,0.544872,0.984797,1.000000,3.184880,0.716964,0.960732,50.538
22,5.944637,5.779449,0.550628,0.967905,0.998311,3.166019,0.714538,0.960071,51.160
23,5.884350,5.714857,0.564976,0.972973,0.998311,3.143970,0.712552,0.959850,50.593
24,5.846481,5.672941,0.578466,0.976351,1.000000,3.121197,0.720494,0.960953,50.958
25,5.807325,5.630615,0.589033,0.974662,0.998311,3.106073,0.718068,0.963821,50.844
26,5.769344,5.587821,0.605077,0.986486,1.000000,3.096287,0.731083,0.961394,50.595
27,5.738218,5.554210,0.613361,0.979730,1.000000,3.087310,0.724024,0.956982,50.929
28,5.718001,5.531562,0.621462,0.989865,0.998311,3.088749,0.712994,0.952129,50.542
29,5.701108,5.513914,0.623980,0.986486,1.000000,3.081628,0.729098,0.955217,50.566
30,5.681002,5.490996,0.633352,0.986486,0.998311,3.080212,0.721818,0.953673,50.192
31,5.656805,5.465442,0.637877,0.993243,0.998311,3.069904,0.737039,0.954776,50.201
32,5.647355,5.454151,0.644014,0.981419,0.994932,3.071255,0.725127,0.954776,50.512
33,5.637669,5.443428,0.647470,0.989865,0.998311,3.074847,0.722259,0.953673,50.999
34,5.625037,5.429115,0.653073,0.988176,0.996622,3.069872,0.725347,0.951908,50.620
35,5.602689,5.407631,0.650192,0.988176,0.996622,3.066010,0.726892,0.953673,50.556
36,5.594696,5.398869,0.652757,0.989865,0.994932,3.067476,0.717185,0.950364,50.792
37,5.580585,5.382606,0.659930,0.993243,0.998311,3.069919,0.721597,0.947717,50.363
38,5.578965,5.378554,0.668036,0.991554,0.998311,3.075431,0.712994,0.944849,50.618
39,5.560701,5.358575,0.673753,0.993243,0.998311,3.070858,0.719391,0.945069,50.327
40,5.551973,5.347539,0.681449,0.994932,0.998311,3.065557,0.724686,0.946614,50.624
41,5.550193,5.343235,0.689862,0.993243,0.996622,3.073104,0.713876,0.941540,50.553
42,5.541683,5.333335,0.694494,0.996622,0.996622,3.072260,0.715420,0.943305,50.702
43,5.545603,5.334578,0.703416,0.991554,0.994932,3.065959,0.723362,0.941981,50.696
44,5.539107,5.323120,0.719955,0.996622,0.996622,3.076850,0.716523,0.938451,50.316
45,5.538478,5.321375,0.723679,0.991554,0.996622,3.078810,0.716964,0.937128,50.667
46,5.533053,5.311875,0.737261,0.991554,0.996622,3.078267,0.717185,0.932716,50.915
47,5.534517,5.310896,0.745401,0.993243,0.994932,3.071213,0.722038,0.939554,50.738
48,5.520766,5.295605,0.750537,0.994932,0.996622,3.072346,0.722038,0.933819,50.016
49,5.524198,5.297750,0.754827,0.993243,0.996622,3.072064,0.716744,0.937128,50.784
50,5.515505,5.287424,0.760269,0.996622,0.996622,3.074079,0.720494,0.937790,50.596
51,5.517817,5.287308,0.768364,0.993243,0.996622,3.072085,0.720935,0.942202,50.530
52,5.512341,5.281182,0.770528,0.996622,0.996622,3.079068,0.714097,0.936466,50.682
53,5.509132,5.276508,0.775414,0.994932,0.996622,3.079330,0.715641,0.934260,50.727
54,5.512687,5.280407,0.774268,0.994932,0.996622,3.076652,0.717626,0.939113,50.587
55,5.507644,5.272962,0.782275,0.994932,0.996622,3.077151,0.720494,0.937348,50.969
56,5.503853,5.268569,0.784280,0.994932,0.994932,3.073712,0.722480,0.936466,50.554
57,5.504078,5.269203,0.782919,0.996622,0.996622,3.074313,0.718288,0.937790,50.650
58,5.500929,5.263278,0.792171,0.994932,0.996622,3.078346,0.716744,0.931392,50.940
59,5.505246,5.267425,0.792737,0.994932,0.994932,3.078779,0.717626,0.930289,50.385
60,5.499392,5.259105,0.800957,0.994932,0.996622,3.075287,0.719171,0.935583,50.018
61,5.496009,5.255240,0.802562,0.994932,0.996622,3.075089,0.720494,0.937348,50.333
62,5.503565,5.262098,0.804890,0.996622,0.996622,3.073706,0.724906,0.933598,50.633
63,5.499947,5.256607,0.811132,0.994932,0.996622,3.072584,0.724906,0.934039,50.342
64,5.501367,5.257737,0.812100,0.993243,0.996622,3.076490,0.722700,0.931613,50.584
65,5.496833,5.252884,0.813161,0.996622,0.996622,3.075865,0.720053,0.934039,50.432
66,5.500222,5.254576,0.818818,0.996622,0.996622,3.076822,0.724244,0.931613,50.345
67,5.496937,5.251575,0.817873,0.996622,0.996622,3.077803,0.723803,0.930289,50.401
68,5.500595,5.254235,0.821201,0.996622,0.996622,3.080502,0.718068,0.931392,50.523
69,5.494746,5.247678,0.823560,0.996622,0.996622,3.079974,0.718068,0.929627,50.732
70,5.499181,5.251484,0.825656,0.993243,0.996622,3.077319,0.716964,0.933157,50.233
71,5.498387,5.251217,0.823901,0.996622,0.996622,3.081718,0.719171,0.930951,50.987
72,5.491472,5.243430,0.826804,0.996622,0.996622,3.080178,0.718729,0.933598,50.807
73,5.492492,5.244057,0.828116,0.994932,0.994932,3.078084,0.723583,0.933377,50.575
74,5.496693,5.248542,0.827169,0.996622,0.996622,3.077926,0.720494,0.932054,50.984
75,5.494217,5.245692,0.828417,0.994932,0.996622,3.076079,0.722480,0.933819,50.566
76,5.499796,5.251300,0.828321,0.993243,0.996622,3.075753,0.719832,0.933157,50.772
77,5.499444,5.250916,0.828425,0.994932,0.996622,3.079781,0.718288,0.930068,50.383
