epoch,train_loss,train_loss_dis,train_loss_sev,train_acc_dis,train_acc_sev,val_loss,val_acc_dis,val_macro_f1_dis,val_acc_sev,val_macro_f1_sev
1,3.019646,2.802674,0.433944,0.372213,0.617818,0.871304,0.733354,0.531936,0.939125,0.929298
2,0.616984,0.587078,0.059812,0.788495,0.954381,0.406800,0.837984,0.773731,0.983830,0.980701
3,0.428650,0.413850,0.029600,0.835981,0.975587,0.411135,0.834813,0.761164,0.977172,0.971386
4,0.382131,0.371035,0.022192,0.846232,0.980308,0.402596,0.838935,0.776832,0.985098,0.983335
5,0.363162,0.352782,0.020760,0.851728,0.980590,0.416486,0.835130,0.782315,0.984781,0.982183
6,0.342636,0.333216,0.018840,0.859443,0.982386,0.405523,0.841154,0.779675,0.984464,0.977979
7,0.318597,0.309778,0.017638,0.869095,0.982562,0.397738,0.846861,0.790452,0.979708,0.969700
8,0.291954,0.284961,0.013985,0.879064,0.985662,0.385139,0.850983,0.813872,0.983830,0.974190
9,0.275035,0.267818,0.014433,0.886004,0.984782,0.418881,0.854471,0.795058,0.987635,0.983318
10,0.256896,0.250559,0.012674,0.896079,0.987459,0.408658,0.854788,0.815220,0.986684,0.981911
11,0.241274,0.235229,0.012091,0.901821,0.988410,0.446235,0.844325,0.783117,0.987001,0.978648
12,0.220592,0.214884,0.011417,0.910100,0.988340,0.441293,0.853202,0.802411,0.988903,0.982122
13,0.209685,0.203859,0.011653,0.917779,0.988798,0.503589,0.838301,0.794510,0.980342,0.974585
14,0.187594,0.182941,0.009307,0.924543,0.990101,0.453030,0.850666,0.799582,0.988269,0.983952
15,0.172714,0.168235,0.008958,0.932328,0.991440,0.516485,0.840203,0.791495,0.985732,0.978462
16,0.156750,0.152921,0.007658,0.938880,0.992003,0.517038,0.844008,0.797744,0.986367,0.979727
17,0.144558,0.140502,0.008112,0.945010,0.991158,0.599793,0.841788,0.792740,0.985732,0.973760
18,0.131698,0.127834,0.007729,0.950012,0.992602,0.572405,0.848446,0.812121,0.984781,0.978496
19,0.113474,0.110181,0.006587,0.957234,0.993518,0.608330,0.836398,0.807302,0.987001,0.980408
20,0.109042,0.105486,0.007112,0.960334,0.992919,0.577453,0.847495,0.816817,0.988903,0.983671
21,0.100868,0.097601,0.006534,0.962166,0.993589,0.618384,0.848763,0.812042,0.984781,0.978349
22,0.084991,0.082350,0.005283,0.969106,0.995632,0.684971,0.834496,0.799131,0.989537,0.982261
23,0.085482,0.082842,0.005280,0.968366,0.995385,0.689948,0.837349,0.807811,0.984464,0.978307
24,0.074777,0.072426,0.004700,0.973262,0.995597,0.676931,0.841788,0.802257,0.990171,0.986269
25,0.067118,0.064641,0.004955,0.976997,0.995350,0.659288,0.852568,0.816661,0.990805,0.989202
26,0.062276,0.060129,0.004293,0.978758,0.995878,0.723244,0.843691,0.800938,0.984464,0.978060
27,0.059791,0.057476,0.004630,0.979885,0.995984,0.710037,0.841788,0.805455,0.986684,0.983331
28,0.050930,0.048953,0.003953,0.981611,0.996407,0.705729,0.847812,0.817137,0.987001,0.981817
29,0.041343,0.039725,0.003236,0.985416,0.997217,0.768574,0.846861,0.812013,0.987318,0.982941
30,0.043440,0.041800,0.003280,0.985310,0.997182,0.804112,0.836715,0.804587,0.988586,0.983856
31,0.034473,0.032815,0.003316,0.989009,0.996759,0.781370,0.845593,0.817306,0.988586,0.984911
32,0.032429,0.030757,0.003344,0.989714,0.997041,0.832117,0.838618,0.814460,0.988903,0.985331
33,0.028182,0.026915,0.002536,0.991052,0.997393,0.823569,0.841154,0.817928,0.989854,0.986143
34,0.025627,0.024348,0.002559,0.991968,0.997992,0.778175,0.848446,0.810532,0.987952,0.982225
35,0.020495,0.019349,0.002291,0.993765,0.998062,0.827461,0.847812,0.821215,0.988586,0.983821
36,0.017217,0.016387,0.001659,0.994751,0.998802,0.852847,0.848129,0.817543,0.988586,0.984040
37,0.018180,0.017309,0.001741,0.994469,0.998626,0.855608,0.848763,0.815162,0.987635,0.982840
38,0.014909,0.014039,0.001741,0.995103,0.998767,0.831749,0.846861,0.818609,0.988903,0.984151
39,0.012692,0.011977,0.001432,0.995949,0.998908,0.863180,0.844642,0.820550,0.988586,0.983762
40,0.010882,0.010238,0.001287,0.996865,0.998802,0.893725,0.846861,0.813632,0.989854,0.984877
41,0.010510,0.009811,0.001397,0.996583,0.999014,0.863271,0.850666,0.827220,0.989220,0.984453
42,0.009980,0.009415,0.001130,0.997111,0.999295,0.877742,0.850983,0.827383,0.990171,0.985236
43,0.007015,0.006524,0.000983,0.997992,0.999225,0.893254,0.848129,0.824722,0.988903,0.982023
44,0.006439,0.005997,0.000885,0.998661,0.999331,0.907251,0.849081,0.814255,0.989854,0.983851
45,0.006273,0.005789,0.000968,0.998415,0.999190,0.924470,0.849081,0.824730,0.989854,0.985961
46,0.006606,0.006156,0.000899,0.998485,0.999577,0.920826,0.852251,0.826433,0.990488,0.986644
47,0.005646,0.005157,0.000976,0.998485,0.999507,0.930921,0.850032,0.824294,0.990171,0.985067
48,0.005261,0.004801,0.000920,0.998732,0.999472,0.946422,0.848129,0.822812,0.989537,0.983649
49,0.006580,0.006165,0.000830,0.998027,0.999507,0.939272,0.850349,0.826022,0.990805,0.987932
50,0.005455,0.005020,0.000869,0.998556,0.999331,0.912142,0.850032,0.826139,0.989854,0.985026
